"Symbol","LTP","%Chng","Volume"
"NTPC","106.85","5.69","8,19,19,305"
"POWERGRID","189.80","4.75","2,14,58,259"
"ASIANPAINT","1,926.95","2.78","28,21,586"
"SBIN","199.45","2.41","4,93,47,342"
"HEROMOTOCO","3,026.80","2.39","12,19,246"
